ophcf2_protein,beau_protein,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAF4589222.1,XP_008599910.1,5.84E-90,269,1.02E-96,286
KAF4589223.1,XP_008599911.1,1.11E-85,258,8.01E-94,278
KAF4589224.1,XP_008599895.1,6.32E-148,437,6.64E-148,437
KAF4589225.1,XP_008599894.1,0,1620,0,1621
KAF4589227.1,XP_008599196.1,4.03E-179,499,2.87E-179,499
KAF4589227.1,XP_008599874.1,0,523,0,545
KAF4589228.1,XP_008599875.1,0,853,0,856
KAF4589229.1,XP_008599873.1,3.05E-94,286,3.54E-83,258
KAF4589231.1,XP_008601140.1,3.44E-45,138,3.26E-36,115
KAF4589232.1,XP_008601139.1,8.40E-24,93.2,6.67E-24,93.2
KAF4589236.1,XP_008594054.1,0,990,0,998
KAF4589238.1,XP_008594057.1,6.98E-136,441,1.19E-131,429
KAF4589242.1,XP_008594059.1,4.84E-153,451,1.13E-153,453
KAF4589243.1,XP_008594060.1,4.30E-111,327,2.50E-106,315
KAF4589244.1,XP_008594061.1,2.62E-45,141,1.87E-45,141
KAF4589246.1,XP_008594087.1,0,679,0,642
KAF4589247.1,XP_008594086.1,1.14E-20,92.8,2.47E-30,120
KAF4589248.1,XP_008594084.1,0,1026,0,1003
KAF4589249.1,XP_008594083.1,2.64E-104,296,1.28E-104,296
KAF4589250.1,XP_008594082.1,0,691,0,691
KAF4589251.1,XP_008596342.1,1.77E-69,203,1.26E-69,203
KAF4589253.1,XP_008593826.1,5.97E-69,207,1.03E-72,216
KAF4589254.1,XP_008593825.1,0,545,0,548
KAF4589255.1,XP_008593824.1,1.50E-136,408,2.28E-133,399
KAF4589256.1,XP_008594652.1,0,1573,0,1529
KAF4589257.1,XP_008594649.1,3.32E-74,221,1.72E-78,231
KAF4589258.1,XP_008594648.1,8.58E-109,309,4.33E-113,319
KAF4589259.1,XP_008594647.1,1.90E-148,454,9.38E-149,455
KAF4589261.1,XP_008594645.1,3.00E-133,392,2.63E-123,366
KAF4589262.1,XP_008594644.1,0,675,0,664
KAF4589263.1,XP_008594642.1,0,863,0,868
KAF4589264.1,XP_008602614.1,1.98E-29,111,1.35E-29,111
KAF4589266.1,XP_008594640.1,0,929,0,932
KAF4589267.1,XP_008594639.1,2.63E-142,399,3.48E-149,416
KAF4589269.1,XP_008594637.1,0,1456,0,1419
KAF4589271.1,XP_008601821.1,7.70E-150,441,6.03E-146,431
KAF4589271.1,XP_008603241.1,6.01E-152,446,6.18E-149,438
KAF4589272.1,XP_008594636.1,0,1160,0,1178
KAF4589274.1,XP_008594635.1,0,1850,0,1861
KAF4589277.1,XP_008594631.1,2.94E-96,283,1.89E-90,268
KAF4589278.1,XP_008594630.1,2.66E-153,430,1.91E-153,430
KAF4589279.1,XP_008594629.1,2.44E-30,102,1.43E-29,100
KAF4589280.1,XP_008594628.1,0,1282,0,1302
KAF4589281.1,XP_008594627.1,0,1176,0,1184
KAF4589282.1,XP_008594626.1,1.96E-139,389,1.40E-139,389
KAF4589283.1,XP_008594624.1,0,988,0,969
KAF4589285.1,XP_008594623.1,0,699,0,692
KAF4589286.1,XP_008594619.1,0,1058,0,1037
KAF4589287.1,XP_008594622.1,1.33E-148,430,3.99E-151,436
KAF4589288.1,XP_008594621.1,9.37E-163,470,1.71E-165,478
KAF4589289.1,XP_008594620.1,0,1020,0,1020
KAF4589290.1,XP_008596573.1,6.97E-53,172,5.22E-53,172
KAF4589291.1,XP_008594148.1,3.26E-74,229,2.54E-74,229
KAF4589293.1,XP_008594617.1,0,555,0,526
KAF4589294.1,XP_008594616.1,6.37E-141,404,4.68E-141,404
KAF4589295.1,XP_008594615.1,0,746,0,732
KAF4589296.1,XP_008594614.1,2.29E-34,114,2.00E-34,114
KAF4589297.1,XP_008594613.1,0,530,0,525
KAF4589298.1,XP_008594611.1,0,1519,0,1524
KAF4589299.1,XP_008594610.1,3.17E-67,205,7.01E-74,221
KAF4589301.1,XP_008594609.1,4.40E-116,341,3.11E-109,323
KAF4589303.1,XP_008594606.1,0,852,0,790
KAF4589304.1,XP_008594605.1,6.32E-148,436,1.82E-152,447
KAF4589306.1,XP_008594661.1,7.87E-67,213,5.46E-67,213
KAF4589307.1,XP_008594660.1,1.35E-71,224,4.68E-67,212
KAF4589308.1,XP_008594659.1,2.78E-90,268,3.65E-90,268
KAF4589310.1,XP_008594603.1,0,805,0,814
KAF4589312.1,XP_008596940.1,0,676,0,701
KAF4589313.1,XP_008594598.1,0,1030,0,1050
KAF4589314.1,XP_008594599.1,3.85E-169,477,5.82E-172,484
KAF4589315.1,XP_008594596.1,9.18E-167,488,9.11E-159,467
KAF4589316.1,XP_008594595.1,0,816,0,829
KAF4589317.1,XP_008594594.1,2.04E-146,419,3.07E-144,413
KAF4589319.1,XP_008594592.1,2.60E-148,421,1.82E-148,421
KAF4589321.1,XP_008594591.1,0,658,0,637
KAF4589322.1,XP_008594590.1,3.92E-158,461,4.05E-167,484
KAF4589323.1,XP_008594589.1,1.70E-79,238,8.89E-54,172
KAF4589324.1,XP_008594588.1,0,926,0,926
KAF4589325.1,XP_008594587.1,0,1057,0,1021
KAF4589326.1,XP_008594586.1,0,1815,0,1815
KAF4589327.1,XP_008594585.1,1.18E-113,350,1.19E-109,339
KAF4589328.1,XP_008594584.1,1.62E-142,426,1.18E-142,426
KAF4589329.1,XP_008594583.1,0,1127,0,1118
KAF4589330.1,XP_008594582.1,0,585,0,582
KAF4589331.1,XP_008594581.1,1.78E-86,266,3.74E-94,286
KAF4589335.1,XP_008594580.1,0,518,0,545
KAF4589336.1,XP_008594578.1,0,518,0,508
KAF4589337.1,XP_008594577.1,0,933,0,933
KAF4589338.1,XP_008594575.1,6.33E-118,334,1.47E-124,351
KAF4589340.1,XP_008594572.1,0,581,0,593
KAF4589341.1,XP_008594571.1,0,941,0,941
KAF4589342.1,XP_008594570.1,1.37E-96,276,9.93E-97,276
KAF4589343.1,XP_008594569.1,2.85E-93,276,1.76E-93,276
KAF4589344.1,XP_008594567.1,0,1729,0,1746
KAF4589345.1,XP_008594566.1,0,608,0,601
KAF4589346.1,XP_008594565.1,3.17E-35,114,2.15E-35,114
KAF4589347.1,XP_008594564.1,0,1497,0,1446
KAF4589348.1,XP_008594563.1,0,689,0,689
KAF4589349.1,XP_008603166.1,2.27E-128,364,7.57E-122,347
KAF4589350.1,XP_008603167.1,5.32E-91,272,5.51E-88,264
KAF4589351.1,XP_008603168.1,4.86E-77,226,5.89E-73,216
KAF4589352.1,XP_008603170.1,1.18E-111,325,7.00E-101,298
KAF4589353.1,XP_008603171.1,6.35E-55,190,4.64E-57,195
KAF4589354.1,XP_008603172.1,9.62E-164,479,1.05E-157,464
KAF4589355.1,XP_008603174.1,0,1390,0,1400
KAF4589356.1,XP_008603173.1,1.61E-94,277,1.15E-94,277
KAF4589358.1,XP_008603333.1,5.68E-38,124,1.93E-38,124
KAF4589359.1,XP_008603334.1,0,733,0,739
KAF4589360.1,XP_008603336.1,0,766,0,785
KAF4589361.1,XP_008603337.1,0,1169,0,1128
KAF4589362.1,XP_008603338.1,9.25E-41,142,1.19E-34,125
KAF4589364.1,XP_008603341.1,0,1138,0,1136
KAF4589366.1,XP_008601175.1,0,654,0,661
KAF4589367.1,XP_008603353.1,2.36E-96,272,1.68E-96,272
KAF4589368.1,XP_008603264.1,8.09E-93,263,5.78E-93,263
KAF4589371.1,XP_008603339.1,0,642,0,663
KAF4589372.1,XP_008603340.1,0,528,0,527
KAF4589373.1,XP_008594907.1,2.99E-87,271,3.20E-88,274
KAF4589374.1,XP_008594921.1,1.78E-134,395,3.34E-135,397
KAF4589375.1,XP_008601413.1,0,832,0,802
KAF4589376.1,XP_008601412.1,0,1195,0,1195
KAF4589377.1,XP_008594927.1,3.01E-128,379,3.61E-143,417
KAF4589381.1,XP_008593823.1,0,843,0,843
KAF4589383.1,XP_008593705.1,4.55E-39,129,1.58E-42,137
KAF4589384.1,XP_008594906.1,0,684,0,677
KAF4589386.1,XP_008593706.1,8.98E-53,160,3.61E-43,135
KAF4589387.1,XP_008593707.1,0,1947,0,1932
KAF4589388.1,XP_008593708.1,2.42E-144,419,7.04E-154,443
KAF4589389.1,XP_008593709.1,1.55E-158,484,1.14E-167,507
KAF4589390.1,XP_008593710.1,0,563,0,566
KAF4589391.1,XP_008593711.1,1.03E-160,505,3.49E-164,514
KAF4589392.1,XP_008593712.1,1.83E-28,99.8,2.67E-21,80.9
KAF4589393.1,XP_008593713.1,0,759,0,732
KAF4589394.1,XP_008593714.1,4.73E-150,422,3.33E-150,422
KAF4589395.1,XP_008593716.1,0,762,0,777
KAF4589401.1,XP_008593717.1,0,1102,0,1081
KAF4589402.1,XP_008593718.1,5.54E-168,480,2.13E-176,501
KAF4589403.1,XP_008593719.1,7.41E-18,77.8,5.20E-18,77.8
KAF4589404.1,XP_008593720.1,1.60E-42,137,1.14E-42,137
KAF4589406.1,XP_008600033.1,2.37E-34,118,4.40E-36,122
KAF4589407.1,XP_008593722.1,5.60E-113,317,3.93E-113,317
KAF4589408.1,XP_008593723.1,0,677,0,677
KAF4589409.1,XP_008593724.1,1.77E-133,378,7.44E-131,371
KAF4589410.1,XP_008593725.1,6.34E-138,391,4.45E-138,391
KAF4589411.1,XP_008593726.1,5.91E-149,425,1.02E-156,444
KAF4589413.1,XP_008594867.1,0,1442,0,1422
KAF4589414.1,XP_008594868.1,2.63E-157,459,2.60E-164,476
KAF4589416.1,XP_008599661.1,0,609,0,634
KAF4589417.1,XP_008594870.1,5.71E-40,128,2.66E-42,134
KAF4589418.1,XP_008594871.1,1.46E-107,313,6.01E-108,314
KAF4589420.1,XP_008594873.1,8.59E-176,489,1.26E-167,468
KAF4589422.1,XP_008594876.1,0,932,0,916
KAF4589423.1,XP_008594877.1,0,2242,0,2271
KAF4589424.1,XP_008594878.1,0,841,0,821
KAF4589425.1,XP_008594879.1,2.05E-178,498,3.77E-174,487
KAF4589426.1,XP_008594880.1,5.32E-160,465,1.41E-159,464
KAF4589427.1,XP_008593539.1,0,1609,0,1610
KAF4589428.1,XP_008593538.1,5.11E-80,242,1.08E-81,246
KAF4589429.1,XP_008593537.1,0,597,0,597
KAF4589430.1,XP_008593536.1,1.38E-64,191,6.04E-73,212
KAF4589431.1,XP_008593535.1,4.50E-110,310,3.42E-110,310
KAF4589432.1,XP_008593534.1,0,817,0,803
KAF4589433.1,XP_008593529.1,5.53E-61,179,4.04E-61,179
KAF4589434.1,XP_008593528.1,0,507,0,507
KAF4589435.1,XP_008593527.1,5.37E-151,420,6.46E-143,399
KAF4589436.1,XP_008593523.1,1.38E-163,462,8.93E-165,465
KAF4589438.1,XP_008593526.1,0,650,0,658
KAF4589440.1,XP_008601220.1,2.23E-112,329,7.33E-114,333
KAF4589441.1,XP_008601219.1,7.56E-147,421,4.85E-153,436
KAF4589442.1,XP_008601244.1,0,1781,0,1766
KAF4589443.1,XP_008601243.1,7.40E-53,177,3.47E-52,174
KAF4589444.1,XP_008601241.1,0,827,0,827
KAF4589445.1,XP_008601240.1,0,667,0,660
KAF4589451.1,XP_008601245.1,0,1003,0,1003
KAF4589452.1,XP_008601246.1,0,1261,0,1237
KAF4589453.1,XP_008596349.1,1.04E-77,246,5.17E-82,257
KAF4589454.1,XP_008601247.1,2.51E-107,303,1.67E-107,303
KAF4589455.1,XP_008601250.1,8.61E-54,178,5.10E-56,183
KAF4589456.1,XP_008601251.1,0,1701,0,1709
KAF4589459.1,XP_008595904.1,1.94E-78,240,1.45E-80,246
KAF4589459.1,XP_008598983.1,1.05E-82,252,8.67E-93,277
KAF4589459.1,XP_008599946.1,4.32E-79,242,2.36E-75,232
KAF4589460.1,XP_008601254.1,2.74E-49,167,1.88E-53,178
KAF4589461.1,XP_008593558.1,1.23E-162,471,9.73E-163,471
KAF4589462.1,XP_008593559.1,0,746,0,806
KAF4589463.1,XP_008593561.1,0,545,0,539
KAF4589464.1,XP_008593564.1,3.95E-149,423,5.90E-158,445
KAF4589465.1,XP_008593568.1,0,1032,0,1050
KAF4589466.1,XP_008593569.1,0,525,0,543
KAF4589467.1,XP_008593570.1,6.72E-95,288,4.24E-94,286
KAF4589468.1,XP_008593571.1,0,719,0,704
KAF4589469.1,XP_008593572.1,1.02E-41,158,5.50E-42,158
KAF4589470.1,XP_008593576.1,0,1110,0,1110
KAF4589471.1,XP_008593579.1,0,3062,0,2988
KAF4589472.1,XP_008593581.1,0,504,3.71E-176,488
KAF4589476.1,XP_008593584.1,0,994,0,967
KAF4589477.1,XP_008593585.1,3.68E-179,499,6.78E-179,499
KAF4589478.1,XP_008593586.1,0,939,0,921
KAF4589479.1,XP_008593587.1,2.48E-27,99,3.59E-27,98.6
KAF4589480.1,XP_008593588.1,6.64E-63,193,1.69E-57,179
KAF4589481.1,XP_008593589.1,0,1488,0,1484
KAF4589482.1,XP_008593590.1,0,575,0,575
KAF4589483.1,XP_008593591.1,0,554,0,580
KAF4589484.1,XP_008593592.1,2.93E-150,422,4.40E-155,434
KAF4589485.1,XP_008593593.1,0,1308,0,1308
KAF4589486.1,XP_008593594.1,1.52E-35,116,1.07E-35,116
KAF4589487.1,XP_008593595.1,0,523,0,551
KAF4589488.1,XP_008593596.1,0,956,0,931
KAF4589491.1,XP_008601343.1,1.90E-07,50.8,1.54E-07,50.4
KAF4589492.1,XP_008596964.1,9.16E-26,96.7,7.13E-26,96.7
KAF4589495.1,XP_008594186.1,7.40E-109,327,1.28E-108,326
KAF4589496.1,XP_008594185.1,2.75E-86,255,2.71E-86,255
KAF4589497.1,XP_008594184.1,0,561,0,557
KAF4589498.1,XP_008594183.1,2.73E-40,130,2.06E-40,130
KAF4589499.1,XP_008594182.1,0,1280,0,1288
KAF4589500.1,XP_008594180.1,0,848,0,838
KAF4589503.1,XP_008593597.1,3.59E-95,275,2.48E-95,275
KAF4589504.1,XP_008600419.1,0,1081,0,1091
KAF4589505.1,XP_008600416.1,0,533,0,566
KAF4589506.1,XP_008600415.1,1.22E-125,354,7.27E-128,359
KAF4589507.1,XP_008597310.1,0,834,0,834
KAF4589508.1,XP_008597311.1,5.37E-29,104,1.03E-19,80.1
KAF4589509.1,XP_008594056.1,8.07E-62,213,5.39E-62,213
KAF4589509.1,XP_008601011.1,5.61E-61,209,3.18E-61,209
KAF4589510.1,XP_008597309.1,0,604,0,615
KAF4589510.1,XP_008603118.1,0,599,0,606
KAF4589511.1,XP_008597307.1,1.77E-17,73.6,5.71E-16,69.3
KAF4589513.1,XP_008597306.1,0,1140,0,1120
KAF4589516.1,XP_008597304.1,0,2200,0,2203
KAF4589518.1,XP_008602498.1,3.58E-83,260,1.81E-86,268
KAF4589519.1,XP_008602497.1,5.66E-136,377,4.05E-136,377
KAF4589520.1,XP_008602496.1,1.14E-95,275,5.94E-96,276
KAF4589521.1,XP_008603490.1,8.76E-44,137,5.50E-44,137
KAF4589522.1,XP_008603384.1,0,862,0,862
KAF4589523.1,XP_008603385.1,0,537,0,537
KAF4589525.1,XP_008601023.1,1.37E-117,346,1.73E-106,317
KAF4589528.1,XP_008595231.1,0,533,0,531
KAF4589529.1,XP_008603457.1,0,1082,0,1068
KAF4589531.1,XP_008600421.1,5.69E-158,462,2.56E-158,463
KAF4589533.1,XP_008603012.1,0,763,0,792
KAF4589534.1,XP_008603013.1,0,1191,0,1175
KAF4589535.1,XP_008602798.1,8.65E-157,449,7.81E-152,436
KAF4589540.1,XP_008600414.1,0,798,0,804
KAF4589541.1,XP_008597315.1,9.55E-108,323,2.09E-104,315
KAF4589542.1,XP_008603026.1,7.44E-33,112,6.12E-33,112
KAF4589543.1,XP_008603025.1,1.28E-93,271,5.77E-90,261
KAF4589544.1,XP_008600369.1,0,1333,0,1314
KAF4589545.1,XP_008600371.1,0,598,0,565
KAF4589546.1,XP_008600373.1,0,715,0,714
KAF4589547.1,XP_008600374.1,0,786,0,782
KAF4589548.1,XP_008600375.1,0,538,0,546
KAF4589551.1,XP_008594202.1,0,650,0,650
KAF4589554.1,XP_008600041.1,0,642,0,642
KAF4589556.1,XP_008600038.1,0,869,0,885
KAF4589557.1,XP_008600037.1,0,2336,0,2355
KAF4589558.1,XP_008595838.1,0,1741,0,1749
KAF4589559.1,XP_008595837.1,0,1173,0,1171
KAF4589560.1,XP_008595836.1,0,1287,0,1268
KAF4589561.1,XP_008595655.1,0,863,0,863
KAF4589562.1,XP_008595835.1,0,972,0,954
KAF4589564.1,XP_008600081.1,1.22E-78,231,1.13E-74,221
KAF4589565.1,XP_008600082.1,2.71E-131,367,2.77E-131,367
KAF4589566.1,XP_008600083.1,3.08E-105,301,2.20E-105,301
KAF4589567.1,XP_008600084.1,0,656,0,654
KAF4589568.1,XP_008600085.1,4.41E-129,362,2.37E-121,342
KAF4589569.1,XP_008600086.1,1.08E-125,382,3.59E-127,385
KAF4589570.1,XP_008600088.1,0,2241,0,2253
KAF4589571.1,XP_008600089.1,0,530,3.52E-129,387
KAF4589572.1,XP_008600090.1,0,758,0,761
KAF4589573.1,XP_008600091.1,1.59E-145,413,3.34E-146,414
KAF4589574.1,XP_008600092.1,2.87E-54,165,2.21E-62,185
KAF4589575.1,XP_008600094.1,0,801,0,817
KAF4589576.1,XP_008600093.1,1.34E-45,143,2.71E-50,154
KAF4589578.1,XP_008600098.1,6.77E-98,289,1.57E-97,288
KAF4589579.1,XP_008600099.1,0,545,0,545
KAF4589580.1,XP_008602963.1,0,666,0,740
KAF4589582.1,XP_008602961.1,1.06E-108,319,8.67E-98,290
KAF4589585.1,XP_008595634.1,4.51E-145,409,3.44E-145,409
KAF4589587.1,XP_008602957.1,1.58E-43,151,1.44E-43,151
KAF4589589.1,XP_008602956.1,6.11E-99,326,2.49E-70,247
KAF4589590.1,XP_008602955.1,0,850,0,841
KAF4589591.1,XP_008602954.1,0,693,0,692
KAF4589592.1,XP_008602953.1,2.66E-168,472,2.54E-168,471
KAF4589595.1,XP_008602263.1,1.62E-105,324,1.86E-99,308
KAF4589596.1,XP_008602264.1,0,593,0,588
KAF4589597.1,XP_008602265.1,9.75E-117,340,6.44E-117,340
KAF4589598.1,XP_008602266.1,0,780,0,761
KAF4589599.1,XP_008602267.1,3.69E-20,84.7,1.87E-30,111
KAF4589600.1,XP_008602268.1,0,525,0,543
KAF4589601.1,XP_008602269.1,0,1316,0,1339
KAF4589602.1,XP_008602270.1,2.34E-101,293,1.24E-101,293
KAF4589604.1,XP_008602271.1,3.89E-166,473,1.30E-167,476
KAF4589605.1,XP_008601198.1,2.51E-61,191,1.82E-61,191
KAF4589606.1,XP_008601199.1,2.16E-99,281,1.55E-99,281
KAF4589608.1,XP_008602489.1,9.36E-56,201,1.44E-59,211
KAF4589609.1,XP_008599949.1,1.39E-49,151,1.06E-49,151
KAF4589610.1,XP_008599950.1,3.09E-124,348,1.54E-130,364
KAF4589611.1,XP_008599351.1,2.97E-117,335,9.23E-115,328
KAF4589613.1,XP_008601159.1,1.92E-177,496,3.99E-178,497
KAF4589614.1,XP_008601156.1,0,968,0,980
KAF4589615.1,XP_008601155.1,1.40E-33,111,1.12E-33,111
KAF4589616.1,XP_008601154.1,4.73E-65,214,4.21E-71,229
KAF4589617.1,XP_008601153.1,0,1080,0,1117
KAF4589620.1,XP_008601151.1,0,530,0,539
KAF4589622.1,XP_008601150.1,0,1357,0,1318
KAF4589623.1,XP_008601149.1,0,885,0,866
KAF4589624.1,XP_008601148.1,0,1576,0,1580
KAF4589625.1,XP_008601147.1,0,674,0,658
KAF4589626.1,XP_008601143.1,0,558,0,541
KAF4589627.1,XP_008601142.1,0,1519,0,1568
KAF4589629.1,XP_008601141.1,0,627,0,627
KAF4589630.1,XP_008594888.1,7.94E-120,339,4.86E-112,318
KAF4589631.1,XP_008601113.1,0,1265,0,1271
KAF4589632.1,XP_008601114.1,0,763,0,809
KAF4589636.1,XP_008601121.1,1.04E-57,181,7.44E-58,181
KAF4589637.1,XP_008601120.1,0,646,0,666
KAF4589638.1,XP_008601119.1,3.54E-79,231,2.57E-79,231
KAF4589639.1,XP_008601136.1,0,609,0,613
KAF4589640.1,XP_008599995.1,1.04E-134,397,3.18E-135,398
KAF4589641.1,XP_008599130.1,0,1740,0,1757
KAF4589642.1,XP_008603082.1,8.26E-66,204,2.52E-58,185
KAF4589643.1,XP_008602862.1,1.08E-44,162,4.98E-45,162
KAF4589645.1,XP_008603083.1,0,763,0,743
KAF4589649.1,XP_008603081.1,0,2201,0,2098
KAF4589653.1,XP_008596623.1,0,944,0,944
KAF4589654.1,XP_008596624.1,7.74E-159,458,9.26E-160,460
KAF4589657.1,XP_008599522.1,3.74E-48,149,5.29E-53,160
KAF4589659.1,XP_008599509.1,0,1659,0,1707
KAF4589659.1,XP_008602369.1,0,1646,0,1662
KAF4589661.1,XP_008594331.1,9.78E-120,360,7.13E-120,360
KAF4589662.1,XP_008602683.1,2.41E-32,126,2.05E-32,126
KAF4589663.1,XP_008600029.1,0,680,0,693
KAF4589665.1,XP_008599510.1,5.56E-147,426,3.43E-157,452
KAF4589666.1,XP_008599511.1,0,849,0,858
KAF4589667.1,XP_008599512.1,6.07E-159,464,6.70E-159,464
KAF4589670.1,XP_008601538.1,0,1197,0,1201
KAF4589671.1,XP_008594330.1,9.09E-08,50.1,1.40E-07,49.3
KAF4589673.1,XP_008598504.1,2.18E-18,84.7,7.17E-14,70.9
KAF4589675.1,XP_008602227.1,1.22E-162,468,2.90E-164,472
KAF4589677.1,XP_008595352.1,3.17E-40,141,2.07E-40,141
KAF4589678.1,XP_008596311.1,0,903,0,915
KAF4589680.1,XP_008602985.1,1.52E-13,60.8,6.34E-14,61.6
KAF4589681.1,XP_008596354.1,2.15E-109,311,1.49E-109,311
KAF4589682.1,XP_008596355.1,1.78E-166,461,2.62E-169,468
KAF4589683.1,XP_008596356.1,0,923,0,953
KAF4589684.1,XP_008596361.1,0,872,0,840
KAF4589685.1,XP_008596360.1,0,692,0,692
KAF4589686.1,XP_008596362.1,0,611,0,615
KAF4589687.1,XP_008596369.1,0,1919,0,1966
KAF4589688.1,XP_008599790.1,0,902,0,907
KAF4589690.1,XP_008596368.1,0,625,0,624
KAF4589691.1,XP_008599371.1,5.79E-58,188,3.95E-58,188
KAF4589694.1,XP_008599884.1,2.79E-21,94,3.03E-21,94
KAF4589697.1,XP_008596366.1,0,533,0,533
KAF4589699.1,XP_008596367.1,3.15E-102,295,2.27E-102,295
KAF4589702.1,XP_008596373.1,0,1044,0,1028
KAF4589703.1,XP_008597154.1,1.98E-87,261,1.43E-87,261
KAF4589706.1,XP_008596374.1,3.24E-100,295,1.07E-93,278
KAF4589708.1,XP_008596382.1,4.92E-83,262,1.37E-56,192
KAF4589709.1,XP_008596379.1,1.09E-67,208,3.46E-64,199
KAF4589710.1,XP_008596378.1,0,523,0,526
KAF4589713.1,XP_008596375.1,1.02E-100,291,6.94E-101,291
KAF4589715.1,XP_008596384.1,1.94E-98,293,5.01E-93,279
KAF4589717.1,XP_008596388.1,0,669,0,669
KAF4589718.1,XP_008596393.1,2.01E-99,295,1.34E-99,295
KAF4589719.1,XP_008596394.1,0,2358,0,2350
KAF4589720.1,XP_008596395.1,1.19E-42,144,1.12E-64,200
KAF4589726.1,XP_008601316.1,7.98E-06,45.4,1.17E-06,47.8
KAF4589728.1,XP_008596396.1,0,1053,0,1065
KAF4589730.1,XP_008595522.1,0,784,0,784
KAF4589735.1,XP_008595536.1,1.81E-169,501,5.42E-163,484
KAF4589736.1,XP_008595538.1,0,993,0,992
KAF4589737.1,XP_008595539.1,4.90E-56,177,1.50E-56,178
KAF4589739.1,XP_008598028.1,1.67E-18,84.7,9.12E-19,84.7
KAF4589741.1,XP_008600959.1,2.68E-42,150,1.74E-41,147
KAF4589743.1,XP_008601458.1,8.90E-121,344,7.31E-113,324
KAF4589744.1,XP_008598491.1,0,679,0,669
KAF4589747.1,XP_008601475.1,1.28E-106,306,8.87E-107,306
KAF4589748.1,XP_008601474.1,9.92E-116,338,2.64E-112,329
KAF4589749.1,XP_008601473.1,1.82E-148,425,2.21E-155,442
KAF4589750.1,XP_008601472.1,0,949,0,986
KAF4589751.1,XP_008601471.1,3.29E-123,352,2.37E-123,352
KAF4589752.1,XP_008601470.1,0,2360,0,2413
KAF4589753.1,XP_008601468.1,0,619,0,591
KAF4589754.1,XP_008601467.1,4.86E-119,347,3.52E-124,359
KAF4589755.1,XP_008601466.1,9.19E-180,504,0,513
KAF4589756.1,XP_008601465.1,0,696,0,679
KAF4589757.1,XP_008601464.1,6.13E-31,106,3.97E-30,103
KAF4589758.1,XP_008601463.1,6.84E-74,236,1.51E-67,219
KAF4589759.1,XP_008601461.1,1.66E-82,269,1.19E-76,253
KAF4589760.1,XP_008601460.1,0,547,0,536
KAF4589761.1,XP_008601459.1,4.22E-164,513,6.48E-122,400
KAF4589763.1,XP_008600332.1,0,1019,0,994
KAF4589766.1,XP_008600334.1,0,752,0,752
KAF4589767.1,XP_008600335.1,0,1288,0,1288
KAF4589768.1,XP_008600336.1,0,630,0,626
KAF4589769.1,XP_008600339.1,0,704,0,723
KAF4589770.1,XP_008600341.1,1.04E-110,332,1.11E-106,322
KAF4589771.1,XP_008600342.1,1.60E-98,308,1.01E-98,308
KAF4589773.1,XP_008602839.1,1.14E-104,325,1.04E-105,328
KAF4589774.1,XP_008602836.1,0,1254,0,1238
KAF4589775.1,XP_008602834.1,0,733,0,733
KAF4589776.1,XP_008602833.1,0,1995,0,1952
KAF4589777.1,XP_008602831.1,0,601,0,612
KAF4589779.1,XP_008602826.1,5.92E-42,158,4.18E-40,152
KAF4589780.1,XP_008602825.1,0,789,0,786
KAF4589786.1,XP_008602824.1,0,1496,0,1504
KAF4589787.1,XP_008602823.1,0,630,0,657
KAF4589788.1,XP_008602821.1,0,872,0,894
KAF4589789.1,XP_008600872.1,0,700,0,700
KAF4589791.1,XP_008600871.1,0,649,0,649
KAF4589792.1,XP_008600859.1,9.87E-148,418,2.94E-148,419
KAF4589794.1,XP_008600865.1,1.68E-150,431,1.01E-164,466
KAF4589795.1,XP_008600864.1,0,577,0,601
KAF4589796.1,XP_008600863.1,0,510,0,533
KAF4589797.1,XP_008600862.1,2.79E-47,168,1.31E-48,172
KAF4589798.1,XP_008598567.1,6.12E-51,169,5.01E-61,194
KAF4589799.1,XP_008598171.1,0,1249,0,1245
KAF4589800.1,XP_008600855.1,1.19E-28,116,2.02E-28,115
KAF4589802.1,XP_008598241.1,0,1449,0,1425
KAF4589803.1,XP_008598242.1,0,775,0,775
KAF4589805.1,XP_008598244.1,0,915,0,898
KAF4589806.1,XP_008598248.1,0,1186,0,1115
KAF4589807.1,XP_008598249.1,0,1187,0,1179
KAF4589809.1,XP_008598404.1,2.06E-90,281,3.15E-87,273
KAF4589810.1,XP_008602673.1,1.72E-97,278,2.43E-98,280
KAF4589811.1,XP_008602672.1,0,672,0,693
KAF4589812.1,XP_008600801.1,0,657,0,672
KAF4589814.1,XP_008600844.1,0,613,0,594
KAF4589815.1,XP_008600843.1,0,997,0,986
KAF4589816.1,XP_008600850.1,0,549,0,531
KAF4589823.1,XP_008598237.1,1.95E-129,402,5.56E-122,382
KAF4589824.1,XP_008598236.1,1.08E-84,253,1.19E-85,256
KAF4589825.1,XP_008595799.1,0,1032,0,1083
KAF4589826.1,XP_008598238.1,0,1457,0,1486
KAF4589829.1,XP_008596773.1,0,569,0,553
KAF4589832.1,XP_008596591.1,0,837,0,837
KAF4589835.1,XP_008599765.1,3.41E-37,122,7.45E-32,108
KAF4589838.1,XP_008593949.1,3.89E-60,207,2.72E-60,207
KAF4589839.1,XP_008593416.1,7.57E-166,462,8.03E-166,462
KAF4589840.1,XP_008596774.1,1.05E-116,328,7.50E-117,328
KAF4589847.1,XP_008599958.1,0,647,0,651
